nm,1bpa,10 bpa,20 bpa,45 bpa,DPPC,H2O
0.200289666666667,0.0671559,2.1113,2.42977,4.3492,0,1000.16
0.600869166666667,0.165604,2.19148,2.541,3.00452,0,999.38
1.001448,0.149244,2.32263,2.54295,2.31891,0,999.745
1.40203,0.173932,2.09422,2.48472,1.65532,0,999.976
1.802605,0.255111,2.056,2.50116,1.52515,0,999.215
2.203185,0.302525,2.15444,2.33976,1.89947,0,999.749
2.60376666666667,0.19322,1.75822,1.91827,1.93894,0,999.516
3.00434666666667,0.164097,1.38978,1.87213,1.70645,0,999.844
3.404925,0.0971798,1.22529,2.07223,1.74688,0,999.328
3.80550666666667,0.0841744,0.892935,2.06404,1.78663,0,999.377
4.20608666666667,0.0577662,0.842211,2.34751,1.81053,0,998.618
4.60666166666667,0.00939272,0.819452,2.55696,1.95039,0,999.061
5.00724,0,0.63242,2.40627,1.97212,0,998.985
5.40782,0,0.555852,2.04677,2.03012,0,997.8
5.8084,0,0.4875,2.2359,1.80785,0,997.798
6.20898166666667,0,0.557828,2.45869,1.65851,0,997.718
6.60956166666667,0,0.533274,3.16835,2.10791,0.0335102,996.68
7.01014,0,0.590278,4.33936,2.57504,5.11748,992.756
7.41071666666667,0,0.855796,3.8546,2.92094,93.3187,930.94
7.81129666666667,0,0.600681,2.08191,1.73646,449.356,725.673
8.21187666666667,0,0.26923,0.909138,0.858334,829.804,459.015
8.61245833333333,0,0.408676,1.94514,2.37853,923.445,200.125
9.01303666666667,0,1.23809,2.65864,2.99979,868.178,36.988
9.41361666666666,0,0.53553,1.15816,0.874178,809.422,1.80596
9.81419833333333,0,0.0184214,0.0945475,0.119235,725.233,0.0417466
10.2147666666667,0.000127806,0.0297726,0.0736963,1.14516,733.735,0.0561548
10.61535,0.0546008,2.02592,2.99698,10.373,816.396,3.38658
11.01595,0.216603,6.60098,11.2897,27.0609,873.986,51.6065
11.4165333333333,0.274449,4.21824,8.26327,19.9723,921.408,232.932
11.8171,0.0703933,0.809232,1.85068,5.8305,796.698,487.847
12.2176666666667,0.202104,0.945563,1.40597,3.65686,394.713,754.848
12.6182333333333,0.525139,1.37007,2.74991,4.28085,79.4938,940.341
13.01885,0.687925,1.25496,3.09181,3.75981,5.40983,991.126
13.4194166666667,0.435261,1.10767,2.85879,2.97238,0.106065,997.045
13.82,0.341761,0.98467,2.42455,3.03392,0.00197022,996.917
14.2205666666667,0.253827,1.04316,2.72818,3.76818,0,997.632
14.6211166666667,0.143474,1.0713,3.4665,5.28757,0,997.888
15.0217166666667,0.205909,1.17722,4.12847,7.46889,0,998.342
15.4223166666667,0.235377,1.29098,4.19359,10.6715,0,997.598
15.8229,0.197981,1.51181,4.43153,13.5329,0,999.197
16.2234666666667,0.17025,1.766,4.30575,15.5628,0,999.316
16.6240333333333,0.204078,2.08078,3.89891,17.06,0,999.116
17.0246,0.180912,1.92016,3.65748,18.4224,0,999.076
17.4252333333333,0.201652,2.05818,3.53525,19.7586,0,999.906
17.8257833333333,0.245682,1.9334,3.32901,19.7351,0,999.222
18.2263666666667,0.212576,1.97727,3.01694,17.9463,0,999.625
18.6269333333333,0.14612,1.99129,2.80563,16.0947,0,1000.12
19.0275166666667,0.132409,1.95785,2.52727,13.1281,0,1000.23
19.4281166666667,0.123908,1.90549,2.33078,9.80649,0,999.586
19.8287,0.068943,2.05271,2.22109,6.73731,0,999.578
